"Month";"Active Listings, Number of";"Sale Price to Original Price Ratio";"Days to Sell, Average";"List Price, Average";"Days to Sell, Median";"List Price, Median";"Original Price, Average";"Sale Price, Average";"Original Price, Median";"Sale Price, Median"
"Jan 2024";151;3429;35;2790;21;2700;3308;2772;2800;2800
"Feb 2024";172;99;42;2704;30;2600;2731;2900;2700;2700
"Mar 2024";170;99;29;2844;24;2700;2842;2877;2800;2790
"Apr 2024";171;100;32;2883;19;2500;2900;2768;2500;2600
"May 2024";174;99;28;2976;26;2700;2982;2904;2900;2850
"Jun 2024";179;100;18;3004;10;2838;2994;2731;2850;2663
"Jul 2024";186;99;32;3002;18;2800;3020;2895;2800;2800
"Aug 2024";189;98;27;2823;22;2600;2856;2894;2600;2825
"Sep 2024";201;115;25;2736;14;2675;2742;3346;2650;2750
"Oct 2024";209;98;28;2734;24;2563;2752;2810;2600;2615
"Nov 2024";189;114;39;2822;23;2525;2801;3338;2400;2613
"Dec 2024";176;97;47;2788;37;2700;2799;2953;2700;2700
"Jan 2025";165;120;49;2798;47;2625;2840;3320;2625;2550
"Feb 2025";159;98;54;2990;36;2525;2982;2702;2550;2500
